all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
ATAD1	PAPSS2:PTEN:ATRNL1:HNRNPF:ANK3:HNRNPH3:MICAL3:BTBD9	8	STAD:LGG:BRCA:LUAD:PRAD
PTEN	LINC01515:SHC2:WBP1L:RASSF8:CIDEB:NRP1	6	STAD:SKCM:PRAD:OV:LIHC
RNLS	ATAD1:PTEN	2	SKCM:BLCA:LUAD:PRAD
LIPJ	KIF20B:JMJD1C:MINPP1	3	LIHC:PRAD
LIPF	JMJD1C:ATAD1	2	PRAD:LGG
LIPM	ENTPD1-AS1	1	SKCM
ANKRD22	ATAD1	1	LGG
STAMBPL1	PTEN:AOAH:AC063965.1	3	PAAD:BRCA:GBM
ACTA2	ANK3:UHRF1:STAMBPL1	3	COAD:BRCA:ESCA
LIPA	BMPR1A:IFIT1	2	GBM:OV
IFIT1	TSPAN14:FYTTD1	2	STAD:PRAD
SLC16A12-AS1	PTEN	1	CESC
KIF20B	PTEN	1	LUSC
RPP30	PCGF5:TM9SF3	2	OV:PRAD
AL365434.1	RPS24	1	MESO
PCGF5	FAM35A:HECTD2	2	BRCA
HECTD2	GRID1:TNKS2:BTAF1:PTEN	4	SKCM:PRAD:STAD
TNKS2	ATRN	1	LUSC
CPEB3	ZMIZ1	1	UCEC
IDE	ENTPD7:VWA2	2	GBM:LGG
EXOC6	TBC1D12	1	LUSC
CYP26A1	SUFU:NRBF2	2	PRAD:BRCA
MYOF	MDN1:IDE:USP54	3	ESCA:STAD:SARC:OV
AL358154.1	PLCE1	1	BRCA
SLC35G1	TBC1D12	1	BRCA
PLCE1	PDLIM1	1	SARC
HELLS	CYP2C18	1	LIHC
CYP2C18	CUL2	1	PRAD
CYP2C19	PLEKHA1:LRMDA	2	ESCA:BRCA
CYP2C8	SLC26A6:C3	2	UCEC:LIHC
PDLIM1	SH3PXD2A	1	LUSC
SORBS1	PDLIM1:TUBGCP2	2	LUAD:SARC
ALDH18A1	SORBS1	1	STAD
TCTN3	SORBS1	1	STAD
ENTPD1	BMPR1A	1	PRAD
ENTPD1-AS1	FAM83B	1	BRCA
CC2D2B	LCOR:ZNF518A	2	PRAD:LUAD
TLL2	CAMK2D:MED20	2	READ:LUSC
TM9SF3	PEAK1:STN1	2	GBM:READ
PIK3AP1	TM9SF3:BLNK	2	BRCA
LCOR	MAN1A1	1	BRCA
SLIT1	SLC35G1	1	LGG
SLIT1-AS1	ZDHHC16:ZFYVE27	2	BRCA:OV
AL355490.1	UBTD1	1	UCEC
RRP12	ARHGAP19:SNX19	2	LIHC:UCEC:THCA
EXOSC1	ARHGAP19:RRP12	2	LUAD:LUSC
ZDHHC16	DNAJA3:GGNBP2	2	UCEC:THCA
UBTD1	HOGA1	1	LIHC
HOGA1	BTAF1	1	SARC
MORN4	TBC1D12	1	BRCA
AL355315.1	ADK	1	BRCA
AVPI1	TM9SF3:PIK3AP1:R3HCC1L	3	LIHC:ESCA
ZFYVE27	R3HCC1L	1	SKCM
SFRP5	PAPSS2	1	READ
